"Date (Annees)";"Population (Millions)"
1.7900000000000000e+003;3.8999999999999999e+000
1.8000000000000000e+003;5.2999999999999998e+000
1.8100000000000000e+003;7.2000000000000002e+000
1.8200000000000000e+003;9.5999999999999996e+000
1.8300000000000000e+003;1.3000000000000000e+001
1.8400000000000000e+003;1.7000000000000000e+001
1.8500000000000000e+003;2.3000000000000000e+001
1.8600000000000000e+003;3.1000000000000000e+001
1.8700000000000000e+003;3.9000000000000000e+001
1.8800000000000000e+003;5.0000000000000000e+001
1.8900000000000000e+003;6.2000000000000000e+001
1.9000000000000000e+003;7.6000000000000000e+001
1.9100000000000000e+003;9.2000000000000000e+001
1.9200000000000000e+003;1.0600000000000000e+002
1.9300000000000000e+003;1.2300000000000000e+002
1.9400000000000000e+003;1.3200000000000000e+002
1.9500000000000000e+003;1.5100000000000000e+002
1.9600000000000000e+003;1.7900000000000000e+002
1.9700000000000000e+003;2.0300000000000000e+002
1.9800000000000000e+003;2.2100000000000000e+002
1.9900000000000000e+003;2.5000000000000000e+002
2.0000000000000000e+003;2.8100000000000000e+002
