"Year","SeaLevel"
1923,4.03
1924,3.83
1925,3.65
1926,3.88
1927,4.01
1928,4.08
1929,4.18
1930,3.8
1931,4.36
1932,3.96
1933,3.98
1934,4.69
1935,3.85
1936,3.96
1937,3.85
1938,3.93
1939,3.75
1940,3.63
1941,3.57
1942,4.25
1943,3.97
1944,4.05
1945,4.24
1946,4.22
1947,3.73
1948,4.37
1949,4.06
1950,3.71
1951,3.96
1952,4.06
1953,4.55
1954,3.79
1955,3.89
1956,4.11
1957,3.85
1958,3.86
1959,3.86
1960,4.21
1961,4.01
1962,4.11
1963,4.24
1964,3.96
1965,4.21
1966,3.74
1967,3.85
1968,3.88
1969,3.66
1970,4.11
1971,3.71
1972,4.18
1973,3.9
1974,3.78
1975,3.91
1976,3.72
1977,4
1978,3.66
1979,3.62
1980,4.33
1981,4.55
1982,3.75
1983,4.08
1984,3.9
1985,3.88
1986,3.94
1987,4.33
