"Year","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10"
1931,103,99,98,96,94,89,86,85,84,79
1932,78,78,74,73,73,72,71,70,70,69
1933,121,113,106,105,102,89,89,88,86,85
1934,116,113,91,91,91,89,88,88,86,81
1935,115,107,105,101,93,91,NA,NA,NA,NA
1936,147,106,93,90,87,87,87,84,82,81
1937,119,107,107,106,105,102,98,95,94,94
1938,114,97,85,83,82,81,79,76,74,69
1939,89,86,82,81,80,80,78,78,77,77
1940,102,101,98,97,96,94,94,91,90,89
1941,99,98,96,95,94,94,89,88,87,86
1942,91,91,87,83,83,81,78,75,75,73
1943,97,88,82,79,78,78,76,76,74,71
1944,106,95,94,90,89,84,84,83,82,80
1945,105,102,98,88,86,84,84,80,80,80
1946,136,104,103,101,100,91,88,84,83,82
1947,126,108,101,99,98,98,96,96,94,93
1948,132,126,119,107,101,98,92,86,85,83
1949,104,102,102,101,93,92,90,88,88,86
1950,117,96,91,89,88,86,86,86,86,85
1951,151,117,114,109,106,104,100,99,99,99
1952,116,104,103,98,91,91,90,90,87,86
1953,107,102,98,98,92,89,89,89,84,84
1954,112,100,95,94,94,90,86,82,81,81
1955,97,96,96,95,94,92,90,90,90,88
1956,95,91,90,85,85,84,82,82,82,80
1957,119,107,100,98,98,97,93,92,91,90
1958,124,114,113,110,108,104,104,102,100,99
1959,118,117,108,107,105,102,96,96,94,94
1960,145,126,123,116,114,110,108,108,107,106
1961,122,108,104,100,100,95,94,93,92,91
1962,114,110,108,107,106,104,99,99,98,95
1963,118,116,114,112,110,109,104,103,103,102
1964,107,104,104,103,102,98,92,90,90,90
1965,110,108,106,102,101,101,100,98,98,98
1966,194,127,126,104,103,102,102,99,98,97
1967,138,118,118,107,100,96,95,93,92,92
1968,144,132,123,114,112,110,108,107,107,106
1969,138,120,116,114,108,106,104,103,103,103
1970,123,122,119,110,105,99,99,97,96,96
1971,122,116,116,109,104,101,100,100,99,98
1972,120,118,113,111,96,92,91,91,90,89
1973,114,111,99,98,97,97,96,92,90,90
1974,96,95,95,93,92,90,90,89,88,88
1975,125,110,109,103,102,101,101,97,90,89
1976,124,122,114,109,108,108,104,104,102,100
1977,120,102,100,98,96,96,95,94,91,90
1978,132,114,110,107,105,102,100,100,100,99
1979,166,140,131,130,122,118,116,115,115,112
1980,134,114,111,109,107,106,104,103,102,99
1981,138,136,130,128,119,110,107,104,104,104
